phrase, correct, wrong1, wrong2, wrong3
"A table for two, please.", Столик на двоих пожалуйста., Столик на троих пожалуйста., Столик у окна пожалуйста., Меню пожалуйста.
"The menu, please.", Меню пожалуйста.,Счет пожалуйста., Вода пожалуйста.,Вино пожалуйста.
I am vegetarian., Я вегетарианец., Я веган., Я аллергик., Я на диете.
I am allergic to nuts., У меня аллергия на орехи., У меня аллергия на молоко., У меня аллергия на яйца., У меня аллергия на рыбу.
This is delicious., Это очень вкусно., Это невкусно., Это холодно., Это горячо.
It is too spicy., Слишком острое., Слишком соленое., Слишком сладкое., Слишком кислое.
Can I have the bill?, Можно счет?, Можно меню?, Можно воды?, Можно хлеба?
We would like to pay., Мы хотим заплатить., Мы хотим заказать., Мы хотим уйти., Мы хотим есть.
Keep the change., Сдачу оставьте себе., Дайте сдачу., Нет сдачи., Мало сдачи.
I am sorry., Извините., Спасибо., Пожалуйста., Не за что.
Excuse me., Простите., Спасибо., Пожалуйста., Извините.
No problem., Нет проблем., Не за что., Пожалуйста., Спасибо.
You are welcome., Пожалуйста., Спасибо., Извините., Не за что.
Thank you very much., Большое спасибо., Пожалуйста., Извините., Не за что.
Could you please help me?, Не могли бы вы мне помочь?, Не могли бы вы подождать?, Не могли бы вы повторить?, Не могли бы вы объяснить?
I would like some coffee., Я бы хотел кофе., Я бы хотел чай., Я бы хотел воду., Я бы хотел сок.
Let's go to the cinema., Давай сходим в кино., Давай сходим в парк., Давай сходим в кафе., Давай сходим в музей.
I enjoy reading., Мне нравится читать., Мне нравится смотреть фильмы., Мне нравится готовить., Мне нравится путешествовать.
He is good at sports., Он хорош в спорте., Он хорош в математике., Он хорош в музыке., Он хорош в искусстве.
She is very smart., Она очень умная., Она очень добрая., Она очень красивая., Она очень веселая.
This is difficult., Это сложно., Это легко., Это интересно., Это скучно.
That is easy., Это легко., Это сложно., Это важно., Это бесполезно.
I can't do this., Я не могу это сделать., Я могу это сделать., Я хочу это сделать., Я должен это сделать.
Can you do me a favor?, Можешь сделать мне одолжение?, Можешь помочь мне?, Можешь подождать меня?, Можешь объяснить мне?
Let me think., Дай подумать., Дай мне., Скажи мне., Покажи мне.
I have an idea., У меня есть идея., У меня есть вопрос., У меня есть проблема., У меня есть мечта.
That's a great idea!, Это отличная идея!, Это ужасная идея!, Это странная идея!, Это сложная идея.
I don't know., Я не знаю., Я знаю., Я помню., Я забыл.
I forgot., Я забыл., Я помню., Я знаю., Я умею.
I remember., Я помню., Я забыл., Я знаю., Я умею.
Let's start., Давайте начнем., Давайте закончим., Давайте подождем., Давайте продолжим.
Let's finish., Давайте закончим., Давайте начнем., Давайте подождем., Давайте продолжим.
Can we meet tomorrow?, Мы можем встретиться завтра?, Мы можем встретиться сегодня?, Мы можем встретиться на неделе?, Мы можем встретиться вчера?
I am busy now., Я сейчас занят., Я сейчас свободен., Я устал., Я спешу.
I am free tomorrow., Я свободен завтра., Я занят завтра., Я устал завтра., Я болен завтра.
What is your hobby?, Какое у тебя хобби?, Какая твоя работа?, Где ты учишься?, Сколько тебе лет?
My hobby is photography., Мое хобби - фотография., Мое хобби - музыка., Мое хобби - спорт., Мое хобби - чтение.
I like to travel., Я люблю путешествовать., Я люблю читать., Я люблю готовить., Я люблю смотреть фильмы.
I want to learn English., Я хочу выучить английский., Я хочу выучить русский., Я хочу выучить французский., Я хочу выучить испанский.
I need to practice more., Мне нужно больше практиковаться., Мне нужно больше учиться., Мне нужно больше отдыхать., Мне нужно больше работать.
Can you correct my mistakes?, Ты можешь исправить мои ошибки?, Ты можешь повторить?, Ты можешь помочь?, Ты можешь объяснить?
How do you say this in English?, Как это сказать по-английски?, Как это пишется?, Что это значит?, Как это переводится?
What is the meaning of this word?, Что значит это слово?, Как сказать это слово?, Как использовать это слово?, Как пишется это слово?
Can you translate this?, Ты можешь перевести это?, Ты можешь объяснить это?, Ты можешь повторить это?, Ты можешь написать это?
I understand., Я понимаю., Я не понимаю., Я согласен., Я не согласен.
I don't understand., Я не понимаю., Я понимаю., Я знаю., Я не знаю.
Could you speak slower?, Не могли бы вы говорить медленнее?, Не могли бы вы говорить громче?, Не могли бы вы повторить?, Не могли бы вы объяснить?
I need an interpreter., Мне нужен переводчик., Мне нужен учитель., Мне нужен врач., Мне нужен помощник.
Where can I buy a ticket?, Где я могу купить билет?, Где я могу сесть?, Где я могу выйти?, Где я могу спросить?
"One ticket,please.", Один билет пожалуйста., Два билета пожалуйста., Билет туда и обратно пожалуйста., Детский билет пожалуйста.
When does the train leave?, Когда поезд отправляется?, Когда поезд прибывает?, Где поезд?, Какой поезд?
When does it arrive?, Когда он прибывает?, Когда он отправляется?, Где он?, Сколько стоит?
Where is platform 5?, Где платформа 5?, Где выход 5?, Где вагон 5?, Где место 5?
Is this seat taken?, Это место занято?, Это место свободно?, Где мое место?, Можно сесть?
How long does it take?, Сколько это займет времени?, Сколько это стоит?, Как далеко это?, Как часто это?
It takes 2 hours., Это займет 2 часа., Это займет 30 минут., Это займет 5 часов., Это займет целый день.
I am looking for a hotel., Я ищу отель., Я ищу ресторан., Я ищу аптеку., Я ищу банк.
Do you have rooms available?, У вас есть свободные номера?, У вас есть еда?, У вас есть вода?, У вас есть Wi-Fi?
I would like a single room., Я бы хотел одноместный номер., Я бы хотел двухместный номер., Я бы хотел номер с видом., Я бы хотел дешевый номер.
How much per night?, Сколько за ночь?, Сколько за час?, Сколько за неделю?, Сколько за месяц?
Can I see the room?, Я могу посмотреть номер?, Я могу забронировать номер?, Я могу оплатить?, Я могу заселиться?
"The key,please.", Ключ пожалуйста., Карта пожалуйста., Счет пожалуйста.,Паспорт пожалуйста.
Where is the elevator?, Где лифт?, Где лестница?, Где выход?, Где вход?
"Wake me up at 7,please.", Разбудите меня в 7 пожалуйста., Позвоните мне в 7 пожалуйста., Встретьте меня в 7 пожалуйста., Напомните мне в 7 пожалуйста.
I need a blanket., Мне нужно одеяло., Мне нужно полотенце., Мне нужно мыло., Мне нужно шампунь.
The room is too cold., В номере слишком холодно., В номере слишком жарко., В номере слишком шумно., В номере слишком темно.
Can I have breakfast?, Мне можно завтрак?, Мне можно обед?, Мне можно ужин?, Мне можно кофе?
I want to rent a car., Я хочу арендовать машину., Я хочу купить машину., Я хочу продать машину., Я хочу помыть машину.
I need insurance., Мне нужна страховка., Мне нужен паспорт., Мне нужны деньги., Мне нужна помощь.
"Fill up the tank, please.", Заправьте полный бак пожалуйста., Проверьте двигатель пожалуйста., Помойте машину пожалуйста., Почините машину пожалуйста.
How far is the beach?, Как далеко пляж?, Как далеко центр?, Как далеко аэропорт?, Как далеко вокзал?
Can you take a photo?, Вы можете сфотографировать?, Вы можете помочь?, Вы можете показать?, Вы можете сказать?
I am interested in history., Я интересуюсь историей., Я интересуюсь наукой., Я интересуюсь искусством., Я интересуюсь спортом.
What do you recommend?, Что вы посоветуете?, Что вы хотите?, Что вам нравится?, Что вы делаете?
Let's go shopping., Давай пойдем за покупками., Давай пойдем гулять., Давай пойдем есть., Давай пойдем в кино.
I am looking for a gift., Я ищу подарок., Я ищу друга., Я ищу работу., Я ищу квартиру.
Can I try this?, Я могу попробовать?, Я могу примерить?, Я могу купить?, Я могу посмотреть?
Do you have a size smaller?, У вас есть размер меньше?, У вас есть размер больше?, У вас есть другой цвет?, У вас есть другая модель?
It doesn't work., Это не работает., Это работает., Это сломалось., Это починили.
The computer is broken., Компьютер сломан., Компьютер работает., Телефон сломан., Принтер сломан.
I can't connect to Wi-Fi., Я не могу подключиться к Wi-Fi., У меня нет интернета., У меня плохой сигнал., У меня нет пароля.
The password is incorrect., Пароль неверный., Пароль правильный., Логин неверный., Email неверный.
Please restart the computer., Пожалуйста перезагрузите компьютер., Пожалуйста включите компьютер., Пожалуйста выключите компьютер., Пожалуйста почините компьютер.
Save the file., Сохраните файл., Удалите файл., Откройте файл., Закройте файл.
Delete this., Удалите это., Сохраните это., Измените это., Напечатайте это.
Press the button., Нажмите кнопку., Включите кнопку., Выключите кнопку., Почините кнопку.
I can't hear you., Я вас не слышу., Я вас не понимаю., Я вас не вижу., Я вас не знаю.
The sound is too loud., Звук слишком громкий., Звук слишком тихий., Картинка нечеткая., Ничего не работает.
Can you fix this?, Вы можете это починить?, Вы можете это купить?, Вы можете это принести?, Вы можете это сделать?
I need a new one., Мне нужен новый., Мне нужен старый., Мне нужен большой., Мне нужен маленький.
When will it be ready?, Когда это будет готово?, Сколько это стоит?, Где это находится?, Кто это сделает?
It is ready., Это готово., Это не готово., Это скоро будет готово., Это будет завтра.
I am waiting., Я жду., Я спешу., Я ухожу., Я пришел.
Don't worry., Не волнуйтесь., Не спешите., Не уходите., Не приходите.
Be patient., Будьте терпеливы., Будьте осторожны., Будьте внимательны., Будьте вежливы.
Take your time., Не спешите., Подождите., Идите., Бегите.
I am in a hurry., Я спешу., Я жду., Я отдыхаю., Я работаю.
What is the matter?, В чем дело?, Что случилось?, Кто виноват?, Что произошло?
Nothing much., Ничего особенного., Все хорошо., Все плохо., Много дел.
Same as usual., Все как обычно., Все по-новому., Все иначе., Все хорошо.
Let me see., Дай посмотреть., Дай мне., Покажи мне., Скажи мне.
I think it is good., Я думаю это хорошо., Я думаю это плохо., Я думаю это сложно., Я думаю это легко.
In my opinion., По моему мнению., По его мнению., По ее мнению., По их мнению.
I hope so., Надеюсь что да.,Боюсь что нет., Думаю да., Знаю что да.
I am afraid not., Боюсь что нет., Надеюсь что да., Думаю да., Знаю что нет.
It depends., Это зависит., Это точно., Это невозможно., Это возможно.
That's enough., Достаточно., Мало., Много., Почти.
Too much., Слишком много., Слишком мало., Достаточно., Почти достаточно.
Not enough., Недостаточно., Достаточно., Слишком много., Слишком мало.
A little bit., Немного., Много., Совсем нет., Достаточно.
Very much., Очень много., Очень мало., Совсем нет., Достаточно.
Not at all., Совсем нет., Конечно., Возможно., Точно.
Of course not., Конечно нет., Конечно да., Возможно., Точно.
Why not?, Почему бы и нет?, Почему?, Зачем?, Как?
What for?, Зачем?, Почему?, Как?, Когда?
How come?, Как так?, Почему?, Зачем?, Что?
So what?, И что?, Что такое?, Что дальше?, Что теперь?
What happened?, Что случилось?, Что произошло?, Что будет?, Что это?
What is going on?, Что происходит?, Что случилось?, Что будет?, Что это?
I don't care., Мне все равно., Мне важно., Мне интересно., Мне скучно.
It doesn't matter., Это не важно., Это важно., Это интересно., Это скучно.
It is important., Это важно., Это не важно., Это интересно., Это скучно.
It is interesting., Это интересно., Это скучно., Это важно., Это не важно.
It is boring., Это скучно., Это интересно., Это весело., Это грустно.
It is fun., Это весело., Это скучно., Это интересно., Это грустно.
I am surprised., Я удивлен., Я расстроен., Я зол., Я рад.
That's surprising., Это удивительно., Это нормально., Это странно., Это обычно.
That's strange., Это странно., Это нормально., Это обычно., Это удивительно.
It is normal., Это нормально., Это странно., Это удивительно., Это обычно.
It is unusual., Это необычно., Это обычно., Это нормально., Это странно.
It is possible., Это возможно., Это невозможно., Это вероятно., Это маловероятно.
It is impossible., Это невозможно., Это возможно., Это вероятно., Это маловероятно.
It is likely., Это вероятно., Это маловероятно., Это возможно., Это невозможно.
It is unlikely., Это маловероятно., Это вероятно., Это возможно., Это невозможно.
I am sure., Я уверен., Я не уверен., Я сомневаюсь., Я знаю.
I am not sure., Я не уверен., Я уверен., Я знаю., Я сомневаюсь.
I doubt it., Я сомневаюсь., Я уверен., Я знаю., Я не знаю.
Absolutely., Абсолютно., Возможно., Вероятно., Ни за что.
Definitely., Определенно., Возможно., Вероятно., Никогда.
Exactly!, Именно!, Возможно!, Вероятно!, Никогда!
For example., Например., В любом случае., Кроме того., Однако.
Such as., Такой как., Например., Кроме того., Однако.
And so on., И так далее., И так далее., И тому подобное., И другие.
Etc., И т.д., И т.п., И др., И другие.
In other words., Другими словами., Например., Однако., Кроме того.
By the way., Кстати., Однако., Кроме того., Поэтому.
However., Однако., Поэтому., Кроме того., Кстати.
Therefore., Поэтому., Однако., Кроме того., Кстати.
Moreover., Более того., Однако., Поэтому., Кстати.
Besides., Кроме того., Однако., Поэтому., Кстати.
Actually., На самом деле., Возможно., Вероятно., Конечно.
In fact., На самом деле., Возможно., Вероятно., Конечно.
As a matter of fact., По сути., На самом деле., Возможно., Вероятно.
To tell the truth., По правде говоря., Честно говоря., На самом деле., По сути.
Honestly., Честно., Правда., На самом деле., По сути.
Seriously., Серьезно., Шутка., Правда., На самом деле.
Just kidding., Шучу., Серьезно., Правда., На самом деле.
I am joking., Я шучу., Я серьезно., Я прав., Я лгу.
Are you serious?, Ты серьезно?, Ты шутишь?, Ты прав?, Ты лжешь?
No way!, Не может быть!, Конечно!, Возможно!, Вероятно!
You are kidding!, Ты шутишь!, Ты серьезен!, Ты прав!, Ты лжешь!
That's incredible!, Это невероятно!, Это нормально!, Это обычно!, Это скучно!
Unbelievable!, Невероятно!, Вероятно!, Возможно!, Обычно!
It can't be!, Этого не может быть!, Это возможно!, Это вероятно!, Это обычно!
Is that true?, Это правда?, Это ложь?, Это шутка?, Это серьезно?
Are you sure?, Ты уверен?, Ты не уверен?, Ты шутишь?, Ты серьезен?
I am serious., Я серьезен., Я шучу., Я прав., Я лгу.
It is true., Это правда., Это ложь., Это шутка., Это серьезно.
It is false., Это ложь., Это правда., Это шутка., Это серьезно.
I am telling the truth., Я говорю правду., Я лгу., Я шучу., Я серьезен.
You are lying., Ты лжешь., Ты прав., Ты шутишь., Ты серьезен.
I don't believe you., Я тебе не верю., Я тебе верю., Я тебя понимаю., Я тебя знаю.
I believe you., Я тебе верю., Я тебе не верю., Я тебя понимаю., Я тебя знаю.
Trust me., Доверься мне., Не доверяй мне., Послушай меня., Пойми меня.
I trust you., Я доверяю тебе., Я не доверяю тебе., Я понимаю тебя., Я знаю тебя.
I don't trust him., Я не доверяю ему., Я доверяю ему., Я понимаю его., Я знаю его.
It is your turn., Твоя очередь., Моя очередь., Его очередь., Ее очередь.
My turn., Моя очередь., Твоя очередь., Его очередь., Ее очередь.
Wait your turn., Жди своей очереди., Не жди., Иди., Беги.
Who is next?, Кто следующий?, Кто первый?, Кто последний?, Кто главный?
I am next., Я следующий., Я первый., Я последний., Я главный.
You are first., Ты первый., Ты последний., Ты следующий., Ты главный.
He is last., Он последний., Он первый., Он следующий., Он главный.
Line up., Встаньте в очередь., Выйдите из очереди., Идите вперед., Идите назад.
The queue is long., Очередь длинная., Очередь короткая., Очередь движется., Очередь стоит.
How long is the wait?, Сколько ждать?, Сколько стоит?, Как далеко?, Как долго?
It is not fair., Это несправедливо., Это справедливо., Это правильно., Это неправильно.
That's not right., Это неверно., Это верно., Это правильно., Это неправильно.
You are wrong., Ты не прав., Ты прав., Ты ошибся., Ты прав.
I am right., Я прав., Я не прав., Я ошибся., Я прав.
Maybe you are right., Может быть ты прав., Может быть ты не прав., Ты прав., Ты не прав.
I made a mistake., Я ошибся., Я прав., Я знаю., Я не знаю.
It was my fault., Это была моя вина., Это не моя вина., Это твоя вина., Это его вина.
Sorry for the mistake., Извините за ошибку., Извините за опоздание., Извините за беспокойство., Извините за вопрос.
No hard feelings., Без обид., С обидой., Со злом., С радостью.
Don't be angry., Не злись., Не грусти., Не радуйся., Не бойся.
I am not angry., Я не злюсь., Я зол., Я грустен., Я рад.
He is angry., Он зол., Он рад., Он грустен., Он удивлен.
She is upset., Она расстроена., Она рада., Она зла., Она удивлена.
Don't worry about it., Не беспокойся об этом., Беспокойся об этом., Подумай об этом., Забудь об этом.
Forget about it., Забудь об этом., Помни об этом., Подумай об этом., Беспокойся об этом.
Never mind., Неважно., Важно., Серьезно., Шутка.
It is not your fault., Это не твоя вина., Это твоя вина., Это моя вина., Это его вина.
I forgive you., Я прощаю тебя., Я не прощаю тебя., Я понимаю тебя., Я знаю тебя.
Apology accepted., Извинение принято., Извинение не принято., Я понимаю., Я знаю.
Let's forget it., Давай забудем это., Давай помнить это., Давай обсудим это., Давай подумаем об этом.
I want to apologize., Я хочу извиниться., Я хочу поблагодарить., Я хочу спросить., Я хочу сказать.
Please forgive me., Пожалуйста прости меня., Пожалуйста пойми меня., Пожалуйста помоги мне., Пожалуйста выслушай меня.
I didn't mean to., Я не хотел., Я хотел., Я планировал., Я надеялся.
It was an accident., Это был несчастный случай., Это было намеренно., Это было случайно., Это было специально.
It was intentional., Это было намеренно., Это было случайно., Это было нечаянно., Это было непреднамеренно.
Be careful next time., Будь осторожен в следующий раз., Будь смелее в следующий раз., Будь умнее в следующий раз., Будь быстрее в следующий раз.
I will be careful., Я буду осторожен., Я буду смелым., Я буду умным., Я буду быстрым.
Pay attention., Будь внимателен., Будь осторожен., Будь смел., Будь умен.
Don't do it again., Не делай так again., Сделай так again., Попробуй again., Начни again.
I promise., Я обещаю., Я не обещаю., Я надеюсь., Я хочу.
I keep my promises., Я держу свои обещания., Я не держу обещания., Я нарушаю обещания., Я забываю обещания.
I broke my promise., Я нарушил обещание., Я сдержал обещание., Я дал обещание., Я забыл обещание.
Do you promise?, Ты обещаешь?, Ты уверен?, Ты знаешь?, Ты понимаешь?
I give you my word., Даю тебе слово., Не даю слова., Беру слово., Забираю слово.
You can count on me., Ты можешь рассчитывать на меня., Ты не можешь рассчитывать на меня., Ты можешь доверять мне., Ты не можешь доверять мне.
I won't let you down., Я тебя не подведу., Я тебя подведу., Я тебя обману., Я тебя предам.
I rely on you., Я полагаюсь на тебя., Я не полагаюсь на тебя., Я доверяю тебе., Я не доверяю тебе.
You can trust me., Ты можешь доверять мне., Ты не можешь доверять мне., Ты можешь верить мне., Ты не можешь верить мне.
